id,nama_stasiun,wilayah_operasi,kecamatan,zona,x,y,z,lat,long
,Bemban,DIVRE III PALEMBANG,Lahat,48 S / 48 M,322785 m E,9584230 m S,116 m,-3.7600829,103.4042069
,Bungamas,DIVRE III PALEMBANG,Lahat,48 S / 48 M,318770 m E,9590510 m S,82 m,-3.7032243,103.368167
,Muaraempayang,DIVRE III PALEMBANG,Kikim,48 S / 48 M,316600 m E,9594245 m S,80 m,-3.6694118,103.3488956
,Paduraksa,DIVRE III PALEMBANG,Kikim,48 S / 48 M,313325 m E,9595975 m S,92 m,-3.6537123,103.3192457
,Sukaraja,DIVRE III PALEMBANG,Kikim,48 S / 48 M,308085 m E,9594880 m S,102 m,-3.6635243,103.2720619
,Sungai Laru,DIVRE III PALEMBANG,Kikim,48 S / 48 M,302935 m E,9597100 m S,98 m,-3.6433588,103.2257473
,Saung Naga,DIVRE III PALEMBANG,Tebing Tinggi,48 S / 48 M,298800 m E,9598990 m S,90 m,-3.6261957,103.1892848
,Sungai Empayang,DIVRE III PALEMBANG,Tebing Tinggi,48 S / 48 M,291305 m E,9600855 m S,119 m,-3.6091928,103.1211449
,Tebingtinggi,DIVRE III PALEMBANG,Tebing Tinggi,48 S / 48 M,288895 m E,9603565 m S,105 m,-3.5846081,103.0815083
,Tanjung Enim,DIVRE III PALEMBANG,Tebing Tinggi,48 S / 48 M,284550 m E,9611070 m S,127 m,-3.5167032,103.060547
,Tabakebun,DIVRE III PALEMBANG,Tebing Tinggi,48 S / 48 M,284105 m E,9613935 m S,114 m,-3.4907802,103.0565962
,Muara Saling,DIVRE III PALEMBANG,Tebing Tinggi,48 S / 48 M,282410 m E,9620365 m S,91 m,-3.4326206,103.0414639
,Kotapadang,DIVRE III PALEMBANG,Kota Padang,48 S / 48 M,274140 m E,9621070 m S,107 m,-3.4260905,102.9670898
,Lubuk Blimbing,DIVRE III PALEMBANG,Kota Padang,48 S / 48 M,270445 m E,9623015 m S,142 m,-3.4084341,102.9338637
,Lubuk Beringin Baru,DIVRE III PALEMBANG,Kota Padang,48 S / 48 M,268845 m E,9625550 m S,141 m,-3.3854841,102.9195182
,Taba Pingin,DIVRE III PALEMBANG,Lubuk Linggau Timur,48 S / 48 M,266315 m E,9629200 m S,143 m,-3.3524356,102.8868284
,Lubuklinggau,DIVRE III PALEMBANG,Lubuk Linggau Barat,48 S / 48 M,262680 m E,9635710 m S,130 m,-3.2935096,102.8642551
,Tanjung Enim Baru,DIVRE III PALEMBANG,Muaraenim Kota,48 S / 48 M,366650 m E,9590210 m S,43 m,-3.7066294,103.7992097
,Indralaya,DIVRE III PALEMBANG,Inderalaya,48 S / 48 M,460290 m E,9645250 m S,16 m,-3.2094381,104.6425817
,Tarahan,DIVRE IV TANJUNG KARANG,Panjang,48 S / 48 M,537215 m E,9391720 m S,5 m,-5.5030357,105.3359781
,Sukaneganti,DIVRE IV TANJUNG KARANG,Panjang,48 S / 48 M,535865 m E,9395520 m S,6.5 m,-5.4686863,105.3237719
,Kilometertiga,DIVRE IV TANJUNG KARANG,Panjang,48 S / 48 M,534790 m E,9397220 m S,9 m,-5.4532927,105.3140594
,Garuntang,DIVRE IV TANJUNG KARANG,Panjang,48 S / 48 M,532315 m E,9399175 m S,6 m,-5.4356183,105.2917085
,Tanjungkarang,DIVRE IV TANJUNG KARANG,Tanjung Karang Timur,48 S / 48 M,528790 m E,9402125 m S,96 m,-5.4089459,105.2598771
,Labuan Ratu,DIVRE IV TANJUNG KARANG,Kedaton,48 S / 48 M,527960 m E,9406140 m S,108 m,-5.3726277,105.25237
,Gedung Ratu,DIVRE IV TANJUNG KARANG,Kedaton,48 S / 48 M,524830 m E,9409325 m S,117 m,-5.3438258,105.2241079
,Rejosari,DIVRE IV TANJUNG KARANG,Natar,48 S / 48 M,520840 m E,9414810 m S,104 m,-5.2942179,105.1880805
,Branti,DIVRE IV TANJUNG KARANG,Natar,48 S / 48 M,519800 m E,9419160 m S,87 m,-5.2548684,105.1786833
,Tegineneng,DIVRE IV TANJUNG KARANG,Natar,48 S / 48 M,519080 m E,9424970 m S,64 m,-5.20231,105.1721714
,Titipasan,DIVRE IV TANJUNG KARANG,Natar,48 S / 48 M,518140 m E,9429895 m S,64 m,-5.1595673,105.1636782
,Rengas,DIVRE IV TANJUNG KARANG,Gunung Sugih,48 S / 48 M,517130 m E,9432530 m S,54 m,-5.1339226,105.1545587
,Bekri,DIVRE IV TANJUNG KARANG,Gunung Sugih,48 S / 48 M,515085 m E,9439305 m S,48 m,-5.0726363,105.1360944
,Hajipemanggilan,DIVRE IV TANJUNG KARANG,Terbanggi Besar,48 S / 48 M,511840 m E,9447100 m S,45 m,-5.001236,105.1068071
,Sulusuban,DIVRE IV TANJUNG KARANG,Terbanggi Besar,48 S / 48 M,509220 m E,9453300 m S,45 m,-4.946038,105.0831654
,Blambangan Pagar,DIVRE IV TANJUNG KARANG,Abung Selatan,48 S / 48 M,504340 m E,9458910 m S,44 m,-4.8952904,105.0391443
,Kalibalangan,DIVRE IV TANJUNG KARANG,Abung Selatan,48 S / 48 M,496980 m E,9462075 m S,48 m,-4.8668583,104.9727625
,Candimas,DIVRE IV TANJUNG KARANG,Kota Bumi,48 S / 48 M,491700 m E,9463930 m S,49 m,-4.8498732,104.9251438
,Kotabumi,DIVRE IV TANJUNG KARANG,Kota Bumi,48 S / 48 M,488635 m E,9467010 m S,28 m,-4.8220032,104.8812721
,Cempaka,DIVRE IV TANJUNG KARANG,Sungai Selatan,48 S / 48 M,479999 m E,9470120 m S,59 m,-4.7938546,104.8195484
,Ketapang,DIVRE IV TANJUNG KARANG,Sungai Selatan,48 S / 48 M,477650 m E,9478575 m S,49 m,-4.7173594,104.7984685
,Negararatu,DIVRE IV TANJUNG KARANG,Sungai Utara,48 S / 48 M,470910 m E,9485275 m S,46 m,-4.6567268,104.7377164
,Tulungbuyut,DIVRE IV TANJUNG KARANG,Baradatu,48 S / 48 M,462755 m E,9488670 m S,81 m,-4.6259825,104.6842039
,Kalipapan,DIVRE IV TANJUNG KARANG,Baradatu,48 S / 48 M,460060 m E,9490045 m S,87 m,-4.6135315,104.6399127
,Negeriagung,DIVRE IV TANJUNG KARANG,Blambangan Umpu,48 S / 48 M,456310 m E,9494590 m S,46 m,-4.5723972,104.6061269
,Blambanganumpu,DIVRE IV TANJUNG KARANG,Blambangan Umpu,48 S / 48 M,446770 m E,9502780 m S,51 m,-4.4982545,104.5201728
,Gunungsangkaran,DIVRE IV TANJUNG KARANG,Blambangan Umpu,48 S / 48 M,444850 m E,9506100 m S,44 m,-4.4682088,104.5028863
,Giham,DIVRE IV TANJUNG KARANG,Blambangan Umpu,48 S / 48 M,443845 m E,9511360 m S,44 m,-4.4206184,104.49386
,Tanjungraja,DIVRE IV TANJUNG KARANG,Blambangan Umpu,48 S / 48 M,440350 m E,9512780 m S,43 m,-4.4077504,104.4623688
,Waytuba,DIVRE IV TANJUNG KARANG,Bahuga,48 S / 48 M,434740 m E,9515900 m S,81 m,-4.3794876,104.4118292
,Waypisang,DIVRE IV TANJUNG KARANG,Bahuga,48 S / 48 M,431960 m E,9519165 m S,87 m,-4.3499314,104.3867987
,Martapura,DIVRE IV TANJUNG KARANG,Martapura,48 S / 48 M,427510 m E,9522870 m S,87 m,-4.3163815,104.3467242
,Sungai Tuha,DIVRE IV TANJUNG KARANG,Martapura,48 S / 48 M,424510 m E,9526695 m S,98 m,-4.2817561,104.2849989
,Gilas,DIVRE IV TANJUNG KARANG,Martapura,48 S / 48 M,420655 m E,9528640 m S,107 m,-4.2641298,104.2489389
,Air Tuba,DIVRE IV TANJUNG KARANG,Baturaja Timur,48 S / 48 M,416160 m E,9533410 m S,86 m,-4.2209414,104.2445374
,Sepancar,DIVRE IV TANJUNG KARANG,Sosoh Buay Rayap,48 S / 48 M,412375 m E,9537435 m S,56 m,-4.1844974,104.2104704
,Kemelak,DIVRE IV TANJUNG KARANG,Baturaja Barat,48 S / 48 M,410120 m E,9539945 m S,50 m,-4.1617714,104.1901768
,Baturaja,DIVRE IV TANJUNG KARANG,Baturaja Barat,48 S / 48 M,406890 m E,9543740 m S,49 m,-4.1274128,104.1620134
,Tigagajah,DIVRE IV TANJUNG KARANG,Baturaja Barat,48 S / 48 M,407735 m E,9545575 m S,39 m,-4.1108207,104.1687424
,Lubukbatang,DIVRE IV TANJUNG KARANG,Peninjauan,48 S / 48 M,413155 m E,9551440 m S,19 m,-4.0578153,104.2176219
,Belatung,DIVRE IV TANJUNG KARANG,Peninjauan,48 S / 48 M,414375 m E,9554890 m S,38 m,-4.0266171,104.2286415
,Kepayang,DIVRE IV TANJUNG KARANG,Peninjauan,48 S / 48 M,418200 m E,9556510 m S,48 m,-4.0119944,104.2631105
,Blimbing ikaka,DIVRE IV TANJUNG KARANG,Peninjauan,48 S / 48 M,421400 m E,9558815 m S,33 m,-3.9911685,104.2919539
,Durian,DIVRE IV TANJUNG KARANG,Peninjauan,48 S / 48 M,423275 m E,9561400 m S,40 m,-3.9677984,104.3088629
,Lubukrukam,DIVRE IV TANJUNG KARANG,Peninjauan,48 S / 48 M,426790 m E,9565275 m S,32 m,-3.93277,104.3405522
,Paninjauan,DIVRE IV TANJUNG KARANG,Peninjauan,48 S / 48 M,430785 m E,9571140 m S,36 m,-3.8797409,104.3765753
,Talang Baru,DIVRE IV TANJUNG KARANG,Peninjauan,48 S / 48 M,429330 m E,9575095 m S,44 m,-3.8439529,104.3634972
,Metur,DIVRE IV TANJUNG KARANG,Peninjauan,48 S / 48 M,427285 m E,9580990 m S,35 m,-3.7906109,104.3451197
,Kotabaru,DIVRE IV TANJUNG KARANG,Rambanglubay,48 S / 48 M,425805 m E,9587550 m S,43 m,-3.7312589,104.3318365
,Pagaragung,DIVRE IV TANJUNG KARANG,Rambanglubay,48 S / 48 M,424180 m E,9592400 m S,26 m,-3.6873711,104.3172369
,Airasam,DIVRE IV TANJUNG KARANG,Rambanglubay,48 S / 48 M,422340 m E,9596830 m S,41 m,-3.6472833,104.3008896
,Sukamerindu,DIVRE IV TANJUNG KARANG,Rambanglubay,48 S / 48 M,419640 m E,9602430 m S,43 m,-3.5966051,104.2764285
,Tanjungrambang,DIVRE IV TANJUNG KARANG,Rambanglubay,48 S / 48 M,418005 m E,9608245 m S,20 m,-3.5439896,104.2617496
,Panjang,DIVRE IV TANJUNG KARANG,Panjang,48 S / 48 M,535245 m E,9396055 m S,3 m,-5.4638295,105.3181723
,Pidada,DIVRE IV TANJUNG KARANG,Panjang,48 S / 48 M,535000 m E,9396330 m S,3 m,-5.481343,105.3155983
